Destination.Port,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Header.Length.1,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label
1,0.0751874430663584,9.3429565786093E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,0.0000233573914465233,0.0217984271062528,0.0376054002289024,0.0531393597271857,0.0751640856749118,4.67147828930465E-05,0.0751874430663584,0.0376054002289024,0.0531393597271857,0.0751640856749118,4.67147828930465E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,0.00226566697031276,2.33573914465233E-05,0.0217984271062528,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,4.67147828930465E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,0.00226566697031276,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,9.3429565786093E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,0.00854880526942751,0,2.33573914465233E-05,0.000770793917735267,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,2.33573914465233E-05,0
1,0.126431289266437,5.30926466684364E-05,1.76975488894788E-05,0.000230068135563224,1.76975488894788E-05,0.000123882842226352,0.000123882842226352,0.000123882842226352,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,0.0297489850632687,0.00497291213343952,0.126431289266437,1.76975488894788E-05,0.126431289266437,0.126431289266437,0.126431289266437,0.126431289266437,1.76975488894788E-05,0.126431289266437,0.126431289266437,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,0.000725599504468631,1.76975488894788E-05,0.00497291213343952,1.76975488894788E-05,0.000123882842226352,0.000123882842226352,0.000123882842226352,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,3.53950977789576E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,0.000176975488894788,0.000123882842226352,1.76975488894788E-05,0.000725599504468631,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,5.30926466684364E-05,0.000230068135563224,1.76975488894788E-05,1.76975488894788E-05,0.00115034067781612,0,3.53950977789576E-05,0.000371648526679055,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,1.76975488894788E-05,0
0.000481833333116508,0.000580166666405592,9.83333332890833E-06,9.83333332890833E-06,0,5.899999997345E-05,0,0,0,0,5.899999997345E-05,5.899999997345E-05,5.899999997345E-05,0,1,0.333333333136667,0.000580166666405592,0,0.000580166666405592,0.000580166666405592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000393333333156333,0.000196666666578167,0.166666666568333,0.166666666568333,0,5.899999997345E-05,1.96666666578167E-05,3.40636658655047E-05,0.0001179999999469,0,0,0,9.83333332890833E-06,0,0,0,0,9.83333332890833E-06,2.9499999986725E-05,0,5.899999997345E-05,0.000393333333156333,0,0,0,0,0,0,9.83333332890833E-06,0,9.83333332890833E-06,5.899999997345E-05,0.287133333204123,0,0,0.000393333333156333,0,0,0,0,0,0,0,0,1
0.563434666666667,0.000682666666666667,1.06666666666667E-05,1.06666666666667E-05,0,6.4E-05,0,0,0,0,6.4E-05,6.4E-05,6.4E-05,0,1,0.333333333333333,0.000682666666666667,0,0.000682666666666667,0.000682666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000426666666666667,0.000213333333333333,0.166666666666667,0.166666666666667,0,6.4E-05,2.13333333333333E-05,3.69504172266667E-05,0.000128,0,0,0,1.06666666666667E-05,0,0,0,0,1.06666666666667E-05,3.2E-05,0,6.4E-05,0.000426666666666667,0,0,0,0,0,0,1.06666666666667E-05,0,1.06666666666667E-05,6.4E-05,0.311466666666667,0,0,0.000426666666666667,0,0,0,0,0,0,0,0,1
0.00626266666652054,0.000620166666652196,1.01666666664294E-05,1.01666666664294E-05,0,6.09999999985767E-05,0,0,0,0,6.09999999985767E-05,6.09999999985767E-05,6.09999999985767E-05,0,1,0.333333333367222,0.000620166666652196,0,0.000620166666652196,0.000620166666652196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000406666666657178,0.000203333333328589,0.166666666632778,0.166666666632778,0,6.09999999985767E-05,2.03333333328589E-05,3.52183664183449E-05,0.000121999999997153,0,0,0,1.01666666664294E-05,0,0,0,0,1.01666666664294E-05,3.04999999992883E-05,0,6.09999999985767E-05,0.000406666666657178,0,0,0,0,0,0,1.01666666664294E-05,0,1.01666666664294E-05,6.09999999985767E-05,0.29686666665974,0,0,0.000406666666657178,0,0,0,0,0,0,0,0,1
0.0665094999966745,0.0007219999999639,9.499999999525E-06,9.499999999525E-06,1.899999999905E-05,5.699999999715E-05,1.899999999905E-05,1.899999999905E-05,1.899999999905E-05,0,5.699999999715E-05,5.699999999715E-05,5.699999999715E-05,0,1,0.2499999999525,0.0007219999999639,0,0.0007219999999639,0.0007219999999639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002279999999886,0.0001899999999905,0.12500000002375,0.12500000002375,1.899999999905E-05,5.699999999715E-05,3.16666666619167E-05,2.1939310230403E-05,5.06666666609667E-05,0,0,0,9.499999999525E-06,0,0,0,0,9.499999999525E-06,4.7499999997625E-05,1.899999999905E-05,5.699999999715E-05,0.0002279999999886,0,0,0,0,0,0,9.499999999525E-06,1.899999999905E-05,9.499999999525E-06,5.699999999715E-05,0.0097279999995136,0,0,0.0002279999999886,0,0,0,0,0,0,0,0,1
0.0052,9.6E-05,4E-06,4E-06,0,2.4E-05,0,0,0,0,2.4E-05,2.4E-05,2.4E-05,0,1,0.33333333332,9.6E-05,0,9.6E-05,9.6E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,8E-05,0.16666666668,0.16666666668,0,2.4E-05,8E-06,1.385640646E-05,4.8E-05,0,0,0,4E-06,0,0,0,0,4E-06,1.2E-05,0,2.4E-05,0.00016,0,0,0,0,0,0,4E-06,0,4E-06,2.4E-05,0.1168,0,0,0.00016,0,0,0,0,0,0,0,0,1
0.00111748028888935,1,6.20822382716305E-05,6.20822382716305E-05,0.0025867599279846,0.0059805889535004,0.00130372700370424,0.00130372700370424,0.00130372700370424,2.06940794238768E-05,0.00300064151646214,0.00300064151646214,0.00300064151646214,2.06940794238768E-05,0.176461253709414,0.00173370922148873,0.333347129317302,0.57723356434824,0.999855141444033,8.27763176955073E-05,0.000103470397119384,0.000103470397119384,2.06940794238768E-05,0.000103470397119384,0.000103470397119384,8.27763176955073E-05,8.27763176955073E-05,2.06940794238768E-05,8.27763176955073E-05,8.27763176955073E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,0.00084845725637895,0.00134511516255199,0.000877201650559775,0.000877201650559775,0.00130372700370424,0.00300064151646214,0.0019824928088074,0.000950132436313971,0.0417647910932682,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,4.13881588477537E-05,0.00247294249115328,0.00130372700370424,0.00300064151646214,0.00084845725637895,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,6.20822382716305E-05,0.0025867599279846,6.20822382716305E-05,0.0059805889535004,0,0,4.13881588477537E-05,0.000434575667901413,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,2.06940794238768E-05,0
0.0089863749980904,0.000561124999880761,8.37499999822031E-06,8.37499999822031E-06,1.67499999964406E-05,5.02499999893219E-05,1.67499999964406E-05,1.67499999964406E-05,1.67499999964406E-05,0,5.02499999893219E-05,5.02499999893219E-05,5.02499999893219E-05,0,1,0.249999999958125,0.000561124999880761,0,0.000561124999880761,0.000561124999880761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000200999999957287,0.000167499999964406,0.124999999937187,0.124999999937187,1.67499999964406E-05,5.02499999893219E-05,2.79166666579427E-05,1.9341234015765E-05,4.46666666543833E-05,0,0,0,8.37499999822031E-06,0,0,0,0,8.37499999822031E-06,4.18749999911016E-05,1.67499999964406E-05,5.02499999893219E-05,0.000200999999957287,0,0,0,0,0,0,8.37499999822031E-06,1.67499999964406E-05,8.37499999822031E-06,5.02499999893219E-05,0.0085759999981776,0,0,0.000200999999957287,0,0,0,0,0,0,0,0,1
0.0533333333333333,0.000682666666666667,1.06666666666667E-05,1.06666666666667E-05,0,6.4E-05,0,0,0,0,6.4E-05,6.4E-05,6.4E-05,0,1,0.333333333333333,0.000682666666666667,0,0.000682666666666667,0.000682666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000426666666666667,0.000213333333333333,0.166666666666667,0.166666666666667,0,6.4E-05,2.13333333333333E-05,3.69504172266667E-05,0.000128,0,0,0,1.06666666666667E-05,0,0,0,0,1.06666666666667E-05,3.2E-05,0,6.4E-05,0.000426666666666667,0,0,0,0,0,0,1.06666666666667E-05,0,1.06666666666667E-05,6.4E-05,0.311466666666667,0,0,0.000426666666666667,0,0,0,0,0,0,0,0,1
